Articulo,Coste Unitario,Valor Unitario,INVERSION INDIVIDUAL,Total Invertido,Precio de venta CAJA,Venta deL Stock,INGREOS ESPERADOS,Stock,Cantidad Unitaria,Multiplicador Unitario,Imagen,color,Material,Marca,medidas piercing,formato,unidades de medida
Labret con Joya-Bola,14,"0,7777777778",70,"3402,92",10,50,"17359,5",5,18,90,https://alkimia.es/1606-home_default/barra-con-joya-18-piezas-esterilizadas.jpg,,Acero 316L,ALKIMIA,1x10,5 Unidad,Unidad
Dilataciones Falsas con goimas,14,"0,7777777778",70,"3402,92",10,50,"17359,5",5,18,90,https://alkimia.es/1612-home_default/falsa-dilatacion-con-gomas-18-piezas-esterilizadas.jpg,,Acero 316L,ALKIMIA,1x10,5 Unidad,Unidad
Dilataciones falsas metalica,14,"0,7777777778",70,"3402,92",10,50,"17359,5",5,18,90,https://alkimia.es/1610-home_default/falsa-dilatacion-18-piezas-esterilizadas.jpg,,Acero 316L,ALKIMIA,1x10,5 Unidad,Unidad
Aro flexible,14,"0,7777777778",14,"3402,92",180,180,"17359,5",1,18,18,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ZrCGV5Hr6Yj3vo7y9VHP.jpg,Negro,Acero 316L,ALKIMIA,0.8x0.6,1 Caja,Caja
Aro Flexible,14,"0,7777777778",70,"3402,92",10,50,"17359,5",5,18,90,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ihun2JdCJQcDqdvAWyYP.jpg,Plata,Acero 316L,ALKIMIA,1x0.6,5 Caja,Caja
Aro Flexible,14,"0,7777777778",28,"3402,92",180,360,"17359,5",2,18,36,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ihun2JdCJQcDqdvAWyYP.jpg,Plata,Acero 316L,ALKIMIA,0.8x0.6,2 Caja,Caja
Aro Flexible,14,"0,7777777778",28,"3402,92",180,360,"17359,5",2,18,36,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ihun2JdCJQcDqdvAWyYP.jpg,Plata,Acero 316L,ALKIMIA,0.8x0.7,2 Caja,Caja
Aro Flexible,14,"0,7777777778",28,"3402,92",180,360,"17359,5",2,18,36,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ihun2JdCJQcDqdvAWyYP.jpg,Plata,Acero 316L,ALKIMIA,0.8x0.8,2 Caja,Caja
Aro Flexible,14,"0,7777777778",28,"3402,92",180,360,"17359,5",2,18,36,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ihun2JdCJQcDqdvAWyYP.jpg,Plata,Acero 316L,ALKIMIA,0.8x0.9,2 Caja,Caja
Aro Flexible,14,"0,7777777778",84,"3402,92",180,1080,"17359,5",6,18,108,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ihun2JdCJQcDqdvAWyYP.jpg,Plata,Acero 316L,ALKIMIA,0.8x10,6 Caja,Caja
Aro Flexible,14,"0,7777777778",14,"3402,92",180,180,"17359,5",1,18,18,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ihun2JdCJQcDqdvAWyYP.jpg,Plata,Acero 316L,ALKIMIA,1x0.6,1 Caja,Caja
Aro Flexible,14,"0,7777777778",28,"3402,92",180,360,"17359,5",2,18,36,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ihun2JdCJQcDqdvAWyYP.jpg,Plata,Acero 316L,ALKIMIA,1x10,2 Caja,Caja
Aro Flexible,14,"0,7777777778",28,"3402,92",180,360,"17359,5",2,18,36,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ihun2JdCJQcDqdvAWyYP.jpg,Plata,Acero 316L,ALKIMIA,1.2x0.8,2 Caja,Caja
Aro Flexible,14,"0,7777777778",42,"3402,92",180,540,"17359,5",3,18,54,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ihun2JdCJQcDqdvAWyYP.jpg,Plata,Acero 316L,ALKIMIA,1.2x10,3 Caja,Caja
Aro Flexible,14,"0,7777777778",28,"3402,92",180,360,"17359,5",2,18,36,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ihun2JdCJQcDqdvAWyYP.jpg,Plata,Acero 316L,ALKIMIA,1.2x12,2 Caja,Caja
Aro flexible,14,"0,7777777778",14,"3402,92",180,180,"17359,5",1,18,18,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ZrCGV5Hr6Yj3vo7y9VHP.jpg,Negro,Acero 316L,ALKIMIA,0.8x0.8,1 Caja,Caja
Aro Flexible,14,"0,7777777778",14,"3402,92",180,180,"17359,5",1,18,18,https://alkimia.es/1602-home_default/segment-18-piezas-esterilizadas.jpg,Dorado,Acero 316L,ALKIMIA,0.8x0.8,1 Caja,Caja
Circular Barbel,14,"0,7777777778",14,"3402,92",180,180,"17359,5",1,18,18,https://alkimia.es/4252-home_default/cbb-titanio-.jpg,Plata,Acero 316L,ALKIMIA,1.2x0.6,1 Caja,Caja
Nabel,19,"1,0555555556",19,"3402,92",180,180,"17359,5",1,18,18,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/b1rWxLLqy65tvw49jNHS.png,Dorado,Acero 316L,ALKIMIA,1.6x10,1 Caja,Caja
Labret,14,"0,7777777778",28,"3402,92",180,360,"17359,5",2,18,36,https://alkimia.es/1596-home_default/lab-.jpg,Plata,Acero 316L,ALKIMIA,1.2x0.8,2 Caja,Caja
Labret,14,"0,7777777778",28,"3402,92",180,360,"17359,5",2,18,36,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/LO9iYRpgV9dlyhlnf5iB.png,Negro,Acero 316L,ALKIMIA,1.2x0.8,2 Caja,Caja
Barbel,14,"0,7777777778",14,"3402,92",180,180,"17359,5",1,18,18,https://alkimia.es/4251-home_default/bbl-titanio-9-piezas-esterilizadas.jpg,Plata,Acero 316L,ALKIMIA,1.6x12,1 Caja,Caja
Barbel,14,"0,7777777778",14,"3402,92",180,180,"17359,5",1,18,18,https://alkimia.es/4251-home_default/bbl-titanio-9-piezas-esterilizadas.jpg,Plata,Acero 316L,ALKIMIA,1.6x14,1 Caja,Caja
Nosetril Bioplastico,14,"0,7777777778",28,"3402,92",180,360,"17359,5",2,18,36,https://alkimia.es/1586-home_default/ins-18-piezas-esterilizadas.jpg,Plata,PTFE,ALKIMIA,0.8x0.7,2 Caja,Caja
Aro flexible,"2,09","2,09","4,18","3402,92",10,20,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/5IChRi2y7GRFPmqwLO5x.jpg,Negro,Acero 316L,CRAZY-FACTORY,0.8x0.6,2 Unidad,Unidad
Aro flexible,"2,09","2,09","6,27","3402,92",10,30,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/V23Clp2AWwI5tMNXQPGm.jpg,Negro,Acero 316L,CRAZY-FACTORY,0.8x0.7,3 Unidad,Unidad
Aro flexible,"2,09","2,09","6,27","3402,92",10,30,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/V23Clp2AWwI5tMNXQPGm.jpg,Negro,Acero 316L,CRAZY-FACTORY,1x0.6,3 Unidad,Unidad
Aro flexible,"2,09","2,09","6,27","3402,92",10,30,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/V23Clp2AWwI5tMNXQPGm.jpg,Negro,Acero 316L,CRAZY-FACTORY,1x0.8,3 Unidad,Unidad
Aro flexible,"2,09","2,09","2,09","3402,92",10,10,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/V23Clp2AWwI5tMNXQPGm.jpg,Negro,Acero 316L,CRAZY-FACTORY,1x10,1 Unidad,Unidad
Aro flexible,"2,09","2,09","2,09","3402,92",10,10,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/V23Clp2AWwI5tMNXQPGm.jpg,Negro,Acero 316L,CRAZY-FACTORY,1.2x0.6,1 Unidad,Unidad
Aro flexible,"2,09","2,09","4,18","3402,92",10,20,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/V23Clp2AWwI5tMNXQPGm.jpg,Negro,Acero 316L,CRAZY-FACTORY,1.2x0.8,2 Unidad,Unidad
Aro flexible,"2,09","2,09","4,18","3402,92",10,20,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/V23Clp2AWwI5tMNXQPGm.jpg,Negro,Acero 316L,CRAZY-FACTORY,1.2x10,2 Unidad,Unidad
Aro flexible,"2,09","2,09","4,18","3402,92",10,20,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/V23Clp2AWwI5tMNXQPGm.jpg,Negro,Acero 316L,CRAZY-FACTORY,1.2x0.7,2 Unidad,Unidad
Aro Flexible,"2,09","2,09","8,36","3402,92",10,40,"17359,5",4,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/nIiT1MJ8B4XMyR0qzEpe.jpg,Plata,Acero 316L,CRAZY-FACTORY,0.8x0.6,4 Unidad,Unidad
Aro Flexible,"2,09","2,09","2,09","3402,92",10,10,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/nIiT1MJ8B4XMyR0qzEpe.jpg,Plata,Acero 316L,CRAZY-FACTORY,0.8x0.8,1 Unidad,Unidad
Aro Flexible,"2,09","2,09","16,72","3402,92",10,80,"17359,5",8,1,8,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/nIiT1MJ8B4XMyR0qzEpe.jpg,Plata,Acero 316L,CRAZY-FACTORY,1x0.7,8 Unidad,Unidad
Aro Flexible,"2,09","2,09","29,26","3402,92",10,140,"17359,5",14,1,14,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/nIiT1MJ8B4XMyR0qzEpe.jpg,Plata,Acero 316L,CRAZY-FACTORY,1x0.8,14 Unidad,Unidad
Aro Flexible,"4,2","4,2","12,6","3402,92",15,45,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/RqDbLF1Yr9BkuXrjCflN.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x0.6,3 Unidad,Unidad
Aro Flexible,"4,2","4,2","12,6","3402,92",15,45,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/RqDbLF1Yr9BkuXrjCflN.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x0.7,3 Unidad,Unidad
Aro Flexible,"2,09","2,09","6,27","3402,92",10,30,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/nIiT1MJ8B4XMyR0qzEpe.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x0.6,3 Unidad,Unidad
Aro Flexible,"4,2","4,2",21,"3402,92",15,75,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/RqDbLF1Yr9BkuXrjCflN.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.6x12,5 Unidad,Unidad
Aro Flexible,"2,89","2,89","2,89","3402,92",10,10,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/9sfQW0iu7Dc8ppRJpKIt.jpg,Dorado,Acero 316L,CRAZY-FACTORY,0.8x0.7,1 Unidad,Unidad
Aro Flexible,"2,89","2,89","14,45","3402,92",10,50,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/9sfQW0iu7Dc8ppRJpKIt.jpg,Dorado,Acero 316L,CRAZY-FACTORY,0.8x0.8,5 Unidad,Unidad
Aro Flexible,"2,89","2,89","14,45","3402,92",10,50,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/9sfQW0iu7Dc8ppRJpKIt.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1x0.7,5 Unidad,Unidad
Aro Flexible,"2,89","2,89","14,45","3402,92",10,50,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/9sfQW0iu7Dc8ppRJpKIt.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1x0.8,5 Unidad,Unidad
Aro Flexible,"2,89","2,89","8,67","3402,92",10,30,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/9sfQW0iu7Dc8ppRJpKIt.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x0.7,3 Unidad,Unidad
Aro Clicker,6,6,18,"3402,92",15,45,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/qOq9UJVjaN31OLuQVrq8.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1x0.6,3 Unidad,Unidad
Aro Clicker,6,6,6,"3402,92",15,15,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/qOq9UJVjaN31OLuQVrq8.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1x0.8,1 Unidad,Unidad
Aro Clicker,6,6,6,"3402,92",15,15,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/qOq9UJVjaN31OLuQVrq8.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x10,1 Unidad,Unidad
Ball Closure,"2,6","2,6","7,8","3402,92",10,30,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/mO93CVZQulHpoCTlj7QG.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x0.6,3 Unidad,Unidad
Ball Closure,"2,6","2,6","7,8","3402,92",10,30,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/mO93CVZQulHpoCTlj7QG.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x0.8,3 Unidad,Unidad
Ball Closure,"1,8","1,8","5,4","3402,92",10,30,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/oBdqxcTENY0Ah0vWjIkc.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x10,3 Unidad,Unidad
Ball Closure,"1,8","1,8",18,"3402,92",10,100,"17359,5",10,1,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/oBdqxcTENY0Ah0vWjIkc.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x0.8,10 Unidad,Unidad
Circular Barbel,"4,8","4,8","9,6","3402,92",12,24,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/o4yLWe61bZlKvBFq9ULm.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x0.6,2 Unidad,Unidad
Circular Barbel,"4,8","4,8","14,4","3402,92",12,36,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/o4yLWe61bZlKvBFq9ULm.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x0.8,3 Unidad,Unidad
Circular Barbel,"4,8","4,8",24,"3402,92",12,60,"17359,5",5,1,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/o4yLWe61bZlKvBFq9ULm.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x0.7,5 Unidad,Unidad
Circular Barbel,"4,8","4,8","14,4","3402,92",12,36,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/o4yLWe61bZlKvBFq9ULm.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x10,3 Unidad,Unidad
Circular Barbel,"1,8","1,8","3,6","3402,92",12,24,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/P13lhjNWoLPSCkABClaK.jpg,Plata,Acero 316L,CRAZY-FACTORY,0.8x0.8,2 Unidad,Unidad
Circular Barbel,"1,8","1,8","14,4","3402,92",12,96,"17359,5",8,1,8,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/P13lhjNWoLPSCkABClaK.jpg,Plata,Acero 316L,CRAZY-FACTORY,1x0.7,8 Unidad,Unidad
Circular Barbel,"1,8","1,8","3,6","3402,92",12,24,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/P13lhjNWoLPSCkABClaK.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x0.7,2 Unidad,Unidad
Circular Barbel,"1,8","1,8","14,4","3402,92",12,96,"17359,5",8,1,8,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/P13lhjNWoLPSCkABClaK.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x0.9,8 Unidad,Unidad
Circular Barbel,"1,8","1,8","14,4","3402,92",12,96,"17359,5",8,1,8,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/P13lhjNWoLPSCkABClaK.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x10,8 Unidad,Unidad
Circular Barbel Bolas 4mm,"1,8","1,8","16,2","3402,92",12,108,"17359,5",9,1,9,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/P13lhjNWoLPSCkABClaK.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x10,9 Unidad,Unidad
Circular Barbel,"1,8","1,8","5,4","3402,92",12,36,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/P13lhjNWoLPSCkABClaK.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x11,3 Unidad,Unidad
Labret Con Brillante,"4,1","4,1","8,2","3402,92",12,24,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/GaTBeMS2kMq0vtG8kGmc.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x0.8,2 Unidad,Unidad
Labret Con Brillante,"4,1","4,1","8,2","3402,92",12,24,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/GaTBeMS2kMq0vtG8kGmc.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x10,2 Unidad,Unidad
Labret Con Brillante,"4,1","4,1","4,1","3402,92",12,12,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/GaTBeMS2kMq0vtG8kGmc.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x0.6,1 Unidad,Unidad
Labret,"3,3","3,3","26,4","3402,92",10,80,"17359,5",8,1,8,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/WI8YznZa4wbWjfgJsoHL.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x0.6,8 Unidad,Unidad
Labret,"3,3","3,3","6,6","3402,92",10,20,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/WI8YznZa4wbWjfgJsoHL.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x0.8,2 Unidad,Unidad
Labret,"3,3","3,3","13,2","3402,92",10,40,"17359,5",4,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/WI8YznZa4wbWjfgJsoHL.jpg,Dorado,Acero 316L,CRAZY-FACTORY,1.2x10,4 Unidad,Unidad
Labret,"0,9","0,9","0,9","3402,92",10,10,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ni3mKHXkpV9wdi5fXXg8.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x0.6,1 Unidad,Unidad
Labret,"0,9","0,9","13,5","3402,92",10,150,"17359,5",15,1,15,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ni3mKHXkpV9wdi5fXXg8.jpg,Plata,Acero 316L,CRAZY-FACTORY,1.2x0.8,15 Unidad,Unidad
Labret Titanio,"2,7","2,7",27,"3402,92",10,100,"17359,5",10,1,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ni3mKHXkpV9wdi5fXXg8.jpg,Plata,Titanio,CRAZY-FACTORY,1.2x0.6,10 Unidad,Unidad
Labret Titanio,"2,7","2,7",27,"3402,92",10,100,"17359,5",10,1,10,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ni3mKHXkpV9wdi5fXXg8.jpg,Plata,Titanio,CRAZY-FACTORY,1.2x0.8,10 Unidad,Unidad
Labret Titanio,"2,7","2,7","24,3","3402,92",10,90,"17359,5",9,1,9,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ni3mKHXkpV9wdi5fXXg8.jpg,Plata,Titanio,CRAZY-FACTORY,1.2x10,9 Unidad,Unidad
Labret Titanio,"2,7","2,7","2,7","3402,92",10,10,"17359,5",1,1,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/ni3mKHXkpV9wdi5fXXg8.jpg,Plata,Titanio,CRAZY-FACTORY,1.2x12,1 Unidad,Unidad
Circular Barbel Negro ,"3,2","3,2","9,6","3402,92",12,36,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/4mwdFl5xynwecUUD1lQ8.jpg,Negro,Acero 316L,CRAZY-FACTORY,1.2x0.6,3 Unidad,Unidad
Circular Barbel Negro ,"3,2","3,2","12,8","3402,92",12,48,"17359,5",4,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/4mwdFl5xynwecUUD1lQ8.jpg,Negro,Acero 316L,CRAZY-FACTORY,1.2x0.8,4 Unidad,Unidad
Circular Barbel Negro con Bola 4mm,"3,2","3,2","12,8","3402,92",12,48,"17359,5",4,1,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/4mwdFl5xynwecUUD1lQ8.jpg,Negro,Acero 316L,CRAZY-FACTORY,1.2x10,4 Unidad,Unidad
Ball Closure Negro con bola de 2mm,2,2,4,"3402,92",10,20,"17359,5",2,1,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/hrl8DpRYcEaqYF5y5GrH.jpg,Negro,Acero 316L,CRAZY-FACTORY,1x0.8,2 Unidad,Unidad
Ball Closure Negro con bola de 4mm,2,2,6,"3402,92",10,30,"17359,5",3,1,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/kPILpmttsB4YMvuoabdi/pub/hrl8DpRYcEaqYF5y5GrH.jpg,Negro,Acero 316L,CRAZY-FACTORY,1.2x0.7,3 Unidad,Unidad
